Ticker,Sector,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank,Momentum_1m,Momentum_3m,Volatility_30d,Trend_50_200,Momentum_1m_Score,Momentum_3m_Score,Volatility_30d_Score,Trend_50_200_Score
SHW,Materials,0.4964639252677243,0.0641426532035482,0.9358573467964516,0.3363737507950929,0.5802548993845531,211,-0.1185673305688072,-0.07188904961117648,0.012663982156499857,1.0139574110384755,0.21687914900619126,0.21066759729930953,0.12187471847343354,0.40667977734682564
HST,Real Estate,0.4561073232899101,0.0292688291284218,0.9707311708715782,0.3525406792780142,0.5794244843608418,212,-0.05296296325062122,0.044499480804004676,0.01146727205370457,1.0715988166973132,0.29483860918896054,0.27915220544659464,0.10620073223914146,0.46839046753795044
BDX,Health Care,0.5771859351765323,0.06389109043649,0.93610890956351,0.2256588980552302,0.579404716356235,213,-0.012944961393862253,0.1007861033421984,0.012597080246108611,0.9630258717152758,0.342393092981401,0.31227202640070084,0.12099846647215866,0.3521526469237116
BRO,Financials,0.4233910574737279,0.0466702271606524,0.9533297728393476,0.4123919189347825,0.5790729305217301,214,-0.07802826356657999,-0.15726095878758928,0.016834276211062166,0.8890922567942655,0.2650528287320936,0.1604335946370538,0.17649540852316165,0.2729995736606405
GRMN,Consumer Discretionary,0.3895238405001412,0.052298501786106,0.947701498213894,0.4624217200436401,0.5788465016773168,215,0.04347474378520011,0.20042525183440696,0.013460982557903223,1.110945793038808,0.40943816847306597,0.37090106842293774,0.13231348162178688,0.510515204768317
ADM,Consumer Staples,0.4902208175432042,0.0474831113559928,0.9525168886440072,0.3220657877405903,0.578463129932661,216,0.016532947136561393,0.31237496075107507,0.014964712561776549,1.1782254122451472,0.37742249621004603,0.43677381309985325,0.15200868042202156,0.5825445331575818
OTIS,Industrials,0.4692604709436943,0.0403998028645185,0.9596001971354814,0.3424446813890988,0.5783176519348517,217,0.04486663666836921,-0.0384685296275975,0.008701386083254626,0.9453743191504874,0.4110921927741893,0.23033268978728358,0.06997436586587291,0.3332549555980492
NXPI,Information Technology,0.4666446378325466,0.0473332279197421,0.952666772080258,0.352791759767655,0.5782954146873925,218,-0.045064025099250116,-0.004912378630288705,0.022553921500285627,1.0674010966068703,0.30422513297496573,0.2500775894245942,0.25140882432780587,0.46389640287992345
VMC,Materials,0.4320037722055936,0.0794048947003081,0.920595105299692,0.4304164629923863,0.5781049793698609,219,-0.011909931133044283,0.13296706538527903,0.013501503821314912,1.1082819902850298,0.34362304768875834,0.3312077459897469,0.13284421143131,0.5076633467230498
ROP,Information Technology,0.5179344167801999,0.0665449033561299,0.93345509664387,0.3029717029724047,0.5781018065969624,220,-0.03452642764679137,-0.11142715708047846,0.01109892424219279,0.9392419119283938,0.31674724762371537,0.1874028324014171,0.1013762734887879,0.32668962156632414
NOW,Information Technology,0.5980490722531605,0.253661205623495,0.746338794376505,0.381764540818758,0.5776506294598431,221,-0.0380377938039308,-0.10029575915273603,0.016262855388402258,0.9622564356373492,0.31257459538568744,0.1939526996649143,0.16901118816984573,0.3513288913111606
DVA,Health Care,0.4350149785097509,0.0167003368809291,0.9832996631190708,0.3620819111889694,0.5776204636963125,222,-0.06415878080330595,-0.0889484047072211,0.01506459327375902,0.9187204372819817,0.28153431363072684,0.20062963870639292,0.15331687436224797,0.30471940155355814
YUM,Consumer Discretionary,0.4597813709038184,0.0517225361562386,0.9482774638437612,0.3636528183034136,0.5774916330056798,223,-0.01851480094235569,0.01774692174746062,0.013052219213063354,1.0143965558060044,0.3357743006318128,0.26341063265253223,0.126959677868365,0.4071499242210783
PAYX,Industrials,0.4754681708329016,0.0509618083053799,0.94903819169462,0.3414710287538168,0.5773400344676918,224,-0.06549505720215332,-0.17216303233223207,0.010766440951653987,0.9286802316196542,0.2799463799158286,0.15166501010689148,0.09702155256944024,0.3153823230370697
GIS,Consumer Staples,0.5187443115301174,0.0094218582386946,0.9905781417613054,0.2419042237565812,0.577242434267413,225,-0.022398941043444642,-0.08559541604995236,0.013696508777681873,0.9200828393446406,0.3311586709423058,0.20260258323534444,0.13539830117666693,0.3061779845052319
CPAY,Financials,0.447872958418432,0.0336890374889667,0.9663109625110332,0.353662603294099,0.5751412531089125,226,-0.08386021756127537,-0.18142980970378975,0.01692208981236322,0.9186429735520202,0.25812255863235956,0.1462123111612531,0.1776455527182857,0.30463646915130205
CDNS,Information Technology,0.4758916172382823,0.2106391350920969,0.7893608649079031,0.491624451138463,0.5746522417092228,227,-0.09571877254081507,0.061588483588358445,0.025511361982716245,1.1346128340088937,0.24403071410212,0.28920760914607874,0.2901440880329249,0.5358530572434966
BR,Industrials,0.427828676126389,0.0633451376034662,0.9366548623965336,0.4060650778672384,0.5739474525296873,228,-0.09290074983484997,-0.04333683306655034,0.009909100279079607,1.032953720598754,0.24737944739413248,0.22746811325066568,0.08579247890436377,0.4270171608760789
NSC,Industrials,0.470782652478996,0.0306443712473627,0.9693556287526373,0.3150469413623603,0.5736338320260976,229,0.05148954109353232,0.15861246571859966,0.00858325061550864,1.123725580742537,0.4189623708573588,0.3462978514008436,0.06842707910786267,0.5241972014281652
CTSH,Information Technology,0.5002171220384142,0.0183614827650649,0.981638517234935,0.2630214198352277,0.5734848299364145,230,-0.0717797504580423,-0.17701251303787868,0.016193695116571503,0.9143687123238043,0.2724781073956914,0.14881150912479893,0.16810535713683022,0.3000604598150356
GEN,Information Technology,0.4580359348228571,0.0549550845757796,0.9450449154242204,0.3556453203286098,0.5734214446549919,231,-0.11334000023212132,-0.09559241641423388,0.010396315305374916,1.043887716000342,0.22309092831150099,0.1967202110621257,0.0921738085158171,0.43872305866025485
HUBB,Industrials,0.3294368334681128,0.0515387999761342,0.9484612000238658,0.523450972404466,0.5733483851157446,232,-0.024987411900779244,0.09764844222241131,0.014399153299529554,1.0862916217964649,0.32808272037703456,0.31042578354909794,0.14460123222681553,0.4841205340265929
UHS,Health Care,0.3856785111130893,0.0103486505869149,0.989651349413085,0.4043813031772022,0.5724812002223219,233,0.10120587644109769,0.1886097407871079,0.015125749532190256,1.0479323243663328,0.47804164902741614,0.36394865961385936,0.1541178723237033,0.44305320243390556
FFIV,Information Technology,0.4038799727996521,0.0522844939060151,0.9477155060939848,0.4192946158226939,0.5716550256948645,234,-0.06153513609413841,0.027348078962887934,0.026338115239850073,1.10393712286245,0.2846520622441089,0.26906008528599595,0.30097254109035554,0.5030117466384979
DECK,Consumer Discretionary,0.3814108537925102,0.0269510886353258,0.9730489113646742,0.4235058046454836,0.5715307563200515,235,-0.1480754352245055,-0.07514130072658443,0.02220753269354595,0.868785056420397,0.1818138628977586,0.20875392812210827,0.24687197503083014,0.25125875494539196
IQV,Health Care,0.5369067045886652,0.04812101154403,0.95187898845597,0.2353328134254391,0.5709262223998889,236,0.08988710056654603,0.2878549436103064,0.022908285915148492,1.078294223105367,0.4645912387394841,0.422345898599515,0.2560501346564391,0.4755585465573372
DGX,Health Care,0.413367734034282,0.0368785032002809,0.963121496799719,0.3853538971848391,0.5698897118090802,237,0.042850598208037605,0.0804394405601705,0.01292772458488645,1.0621745920155385,0.4086964792493126,0.30029977086348014,0.1253291016045479,0.4583009250817737
DHR,Health Care,0.5951666562506073,0.0786318631660247,0.9213681368339752,0.1838268881208686,0.5696251699866961,238,0.05436901571900643,0.02463123888642471,0.023260880524925538,0.989546588792213,0.4223841291424923,0.26746145930995086,0.26066826485106354,0.3805456352014085
ISRG,Health Care,0.4994963253815069,0.1235666632657594,0.8764333367342405,0.3559273455951663,0.5695067348514249,239,-0.05078722365359045,-0.14601552838390197,0.01623460387341528,0.8870323718164804,0.29742409993319907,0.16705056017392286,0.16864116216607972,0.2707942679044656
O,Real Estate,0.5364952886570913,0.1149299817148505,0.8850700182851495,0.2973862880160947,0.5693350073532097,240,0.018737933903742565,0.05714473902512318,0.006569357820793654,1.056247109635044,0.38004274216479883,0.28659284887688213,0.04204999089913851,0.45195498287902736
FAST,Industrials,0.3701095535864357,0.0891977371773545,0.9108022628226454,0.4931974701604191,0.5692437413294936,241,-0.11890433088870256,0.00024703706050166474,0.017250990533006706,1.1424646673158152,0.2164786823285227,0.25311346040425425,0.18195335070191865,0.5442592029142607
ULTA,Consumer Discretionary,0.4021156470472236,0.0325071726973496,0.9674928273026504,0.3912972538788072,0.5684832831733267,242,0.02635580745152355,0.1674946021411925,0.01339604017769068,1.195268361262146,0.3890952692114391,0.35152422233483605,0.1314628946909204,0.6007906556230198
J,Industrials,0.4361334432273431,0.0728978622931326,0.9271021377068672,0.3848471237995725,0.5680381557428692,243,0.0734319237785721,0.22562772019506272,0.013963113930663655,1.1216864019076433,0.4450371030615859,0.3857305465842904,0.1388901790241648,0.5220140635971895
AMD,Information Technology,0.5306241833576469,0.1959753682723858,0.8040246317276141,0.381728605943977,0.5679756446445361,244,0.5393963159211215,0.9240548374228543,0.05385308349343819,1.3241406375021307,0.9987553075164813,0.7966946447833029,0.6613515774470806,0.7387608703041292
ADSK,Information Technology,0.5329909800474874,0.1361691755942462,0.8638308244057538,0.3161381739212088,0.5671870915170837,245,-0.07077941270543142,0.023216682627973162,0.010976763826443761,1.0545024772061868,0.27366683604870545,0.2666291149997618,0.09977626971982731,0.4500871854149644
HII,Industrials,0.3870178495509249,0.0337742605331034,0.9662257394668964,0.4028884483159613,0.5655413961552272,246,0.03734158139253041,0.2443071327639561,0.013894899776096802,1.2003276597385089,0.4021499642133284,0.3967217692214247,0.13799673982183225,0.6062071231308935
CSX,Industrials,0.472802043276509,0.033014569732154,0.966985430267846,0.282928781126601,0.5640950807289377,247,0.1285845861765158,0.1369512381543756,0.014816306157635928,1.0708204551441287,0.5105765170358489,0.3335520879099459,0.150064918160679,0.46755715634235706
PNR,Industrials,0.3854006904958444,0.0548201007504335,0.9451798992495664,0.4183485894715381,0.5632188228146691,248,-0.017076250311141794,0.09913818387697382,0.012502467504167293,1.099313064326131,0.3374837696083382,0.3113023679779026,0.11975927010261775,0.4980612455100326
LII,Industrials,0.331728322105177,0.0393073555545694,0.9606926444454306,0.4731031165547643,0.5628300571421292,249,-0.09682147630461824,-0.04626063048221207,0.016536769931416898,0.9602574462332149,0.24272034112419522,0.22574771073678088,0.17259880121544088,0.3491887801462108
LVS,Consumer Discretionary,0.4000517719140326,0.0483698220554904,0.9516301779445095,0.3894236442995658,0.5623368554388356,250,-0.09693021552507264,0.1656954118516174,0.025635208773380224,1.1749719428729721,0.24259112334077837,0.3504655540835538,0.2917661792039564,0.5790613800634167
PKG,Materials,0.3407594783605813,0.034938422816715,0.965061577183285,0.4538782853312114,0.5619857500985814,251,-0.052849351953316304,0.06541745451015868,0.01092908499040682,1.041059119605502,0.29497361659426935,0.2914606281699587,0.09915179315030183,0.4356947731109599
PTC,Information Technology,0.4047852947593843,0.0954136778216731,0.9045863221783268,0.4276105880921617,0.5615731909849003,252,-0.04639681904487425,0.1863157930429915,0.011755613033544178,1.1423260365088492,0.302641337554277,0.3625988692882512,0.10997729645317436,0.5441107852502248
HSY,Consumer Staples,0.4266186842246972,0.0440746211442005,0.9559253788557994,0.3462366120227904,0.5612960709534558,253,0.0011198566375203445,0.1257231951846094,0.015329719687640856,1.0960108821632906,0.3591067001102897,0.32694535337775166,0.1567893843308899,0.4945259406701087
